,Link,Name,Description,Price,Sale_Price
69,https://www.nike.com/in/t/dallas-mavericks-city-edition-dri-fit-nba-swingman-jersey-tHpP6w/DB4023-100,Dallas Mavericks City Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197"
70,https://www.nike.com/in/t/sb-zoom-blazer-mid-prm-skate-shoes-RdNrlK/DC8903-400,Nike SB Zoom Blazer Mid PRM,Skate Shoes,"9,795","7,837"
71,https://www.nike.com/in/t/brooklyn-nets-legacy91-nba-adjustable-hat-WhMWRc/DM8733-419,Brooklyn Nets Legacy91,Nike NBA Adjustable Hat,"1,595","1,277"
72,https://www.nike.com/in/t/air-max-2021-shoes-P00HsV/DC9478-001,Nike Air Max 2021,Women's Shoes,"14,495","11,597"
73,https://www.nike.com/in/t/air-huarache-shoes-Ts78zj/DH4439-105,Nike Air Huarache,Women's Shoes,"10,295","8,237"
74,https://www.nike.com/in/t/air-force-1-07-lx-shoes-RXFBHV/DH4408-100,Nike Air Force 1 '07 LX,Women's Shoes,"10,995","8,797"
75,https://www.nike.com/in/t/air-force-1-07-lx-shoes-twSWQ9/DC8744-301,Nike Air Force 1 '07 LX,Men's Shoes,"9,295","7,437"
76,https://www.nike.com/in/t/kd14-nrg-basketball-shoe-898852/DC9381-500,KD14 NRG,Basketball Shoe,"13,495","10,797"
77,https://www.nike.com/in/t/air-zoom-pegasus-38-road-running-shoes-4PMfGR/DQ4994-010,Nike Air Zoom Pegasus 38,Men's Road Running Shoes,"11,495","9,197"
78,https://www.nike.com/in/t/nikecourt-dri-fit-tennis-skirt-2kglmL/DD8634-100,NikeCourt Dri-FIT,Women's Tennis Skirt,"3,995","3,197"
79,https://www.nike.com/in/t/jr-tiempo-legend-9-academy-mg-younger-older-multi-ground-football-boots-6KjHfh/DA1333-075,Nike Jr. Tiempo Legend 9 Academy MG,Younger/Older Kids' Multi-Ground Football Boot,"4,995","3,997"
80,https://www.nike.com/in/t/dri-fit-indy-light-support-padded-v-neck-sports-bra-xwQJWz/DN4181-621,Nike Dri-FIT Indy,Women's Light-Support Padded V-Neck Sports Bra (Plus Size),"2,195","1,757"
81,https://www.nike.com/in/t/sb-skate-t-shirt-2FlLVn/DN7290-010,Nike SB,Skate T-Shirt,"1,595","1,277"
82,https://www.nike.com/in/t/free-metcon-4-training-shoes-hr4JbW/CT3886-074,Nike Free Metcon 4,Training Shoes,"10,295","8,237"
83,https://www.nike.com/in/t/sportswear-style-essentials-unlined-cropped-trousers-S14LQP/DD7033-010,Nike Sportswear Style Essentials,Men's Unlined Cropped Trousers,"3,995","3,197"
84,https://www.nike.com/in/t/sport-clash-training-top-gdPmSf/DM5562-367,Nike Sport Clash,Men's Training Top,"2,595","2,077"
85,https://www.nike.com/in/t/dri-fit-adv-run-division-engineered-running-tank-jm4HnK/DM7559-394,Nike Dri-FIT ADV Run Division,Women's Engineered Running Tank,"4,495","3,597"
86,https://www.nike.com/in/t/air-max-genome-shoes-nxMDJ2/DB0249-002,Nike Air Max Genome,Men's Shoes,"15,495","12,397"
87,https://www.nike.com/in/t/acg-short-sleeve-t-shirt-FcRBP0/DQ2907-326,Nike ACG,Women's Short-Sleeve T-Shirt,"2,195","1,757"
88,https://www.nike.com/in/t/react-infinity-run-flyknit-2-road-running-shoes-9hhcGc/CT2423-501,Nike React Infinity Run Flyknit 2,Women's Road Running Shoes,"14,495","11,597"
89,https://www.nike.com/in/t/team-hustle-d-10-shoe-D8qZxs/CW6737-004,Nike Team Hustle D 10,Baby & Toddler Shoe,"3,495","2,797"
90,https://www.nike.com/in/t/blazer-mid-77-next-nature-shoes-4qWCrg/DQ4124-100,Nike Blazer Mid '77 Next Nature,Women's Shoes,"8,895","7,117"
91,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-HMG6C0/CT2401-700,Nike Zoom Fly 4,Women's Road Running Shoes,"14,495","11,597"
92,https://www.nike.com/in/t/pro-sleeveless-top-XrqNNv/BV5601-010,Nike Pro,Men's Sleeveless Top,"1,495","1,197"
93,https://www.nike.com/in/t/nikecourt-zoom-nxt-hard-court-tennis-shoes-6xrnQj/DH0222-091,NikeCourt Zoom NXT,Women's Hard Court Tennis Shoes,"12,995","10,397"
94,https://www.nike.com/in/t/paris-saint-germain-t-shirt-CNTFkC/DB6510-051,Paris Saint-Germain,Men's T-Shirt,"1,795","1,437"
95,https://www.nike.com/in/t/air-presto-shoes-QdhgZW/CT3550-003,Nike Air Presto,Men's Shoes,"11,495","9,197"
96,https://www.nike.com/in/t/older-tie-dye-bucket-hat-Z2f8w7/DH1095-436,Nike,Older Kids' Tie-Dye Bucket Hat,995,797
97,https://www.nike.com/in/t/kyrie-protect-jacket-RBqNc7/DJ3856-010,Kyrie,Men's Protect Jacket,"10,995","8,797"
98,https://www.nike.com/in/t/flex-stride-13cm-brief-running-shorts-j1wq3N/CJ5454-010,Nike Flex Stride,Men's 13cm (approx.) Brief Running Shorts,"2,795","2,237"
99,https://www.nike.com/in/t/tempo-icon-clash-running-shorts-Sw4Bd2/DM7394-010,Nike Tempo Icon Clash,Women's Running Shorts,"2,095","1,677"
100,https://www.nike.com/in/t/swoosh-ultrabreathe-support-padded-sports-bra-GX5mln/CZ4440-011,Nike Swoosh UltraBreathe,Women's Medium-Support Padded Sports Bra,"3,895","3,117"
