,Link,Title,Company Name,Location,Date,Salary
244,https://in.indeed.com//rc/clk?jk=55ce33b2d384630a&fccid=fd85f30d9450eafe&vjs=3,"Lead Analyst - Sustainability (Agri, Food & Energy)",BIS Research,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
245,https://in.indeed.com//rc/clk?jk=b1d5d38dbb7432e8&fccid=a311d3f78a9495c2&vjs=3,Senior Data Analyst- (SQL) Cyber Security,BlackBerry,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
246,https://in.indeed.com//rc/clk?jk=f36c6fd30d0edda3&fccid=39e7cc3fd9e2cd7d&vjs=3,Senior Business Analyst,Iron Systems,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
247,https://in.indeed.com//rc/clk?jk=c088d84b61fb7e12&fccid=994b5c764776123e&vjs=3,"Senior Consultant , Global Financial Crimes Data Analytics",Crowe,"Noida, Uttar Pradesh",Posted23 days ago,N/A
248,https://in.indeed.com//rc/clk?jk=2913e6c2949b0a44&fccid=407208a60bfc4c49&vjs=3,Third Party Risk Analyst,TMF Group,"Noida, Uttar Pradesh",Posted28 days ago,N/A
249,https://in.indeed.com//rc/clk?jk=3652a5c835e8e7ed&fccid=dd616958bd9ddc12&vjs=3,Lead Business Analyst,UZIO Technology India Pvt Ltd,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
250,https://in.indeed.com//rc/clk?jk=910dad2febc0476b&fccid=d00bcbf4ac1efa28&vjs=3,Power BI Developer,Prowess India,"Noida, Uttar Pradesh",Posted27 days ago,N/A
251,https://in.indeed.com//rc/clk?jk=2c16deac4d94661a&fccid=990782d378c3e8b6&vjs=3,Lead Business Systems Analyst,Ameriprise Financial,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
252,https://in.indeed.com//rc/clk?jk=155ddb86b5d1cbe7&fccid=fd85f30d9450eafe&vjs=3,newResearch Analyst (Aerospace & Defense),BIS Research,"Noida, Uttar Pradesh",Posted8 days ago,N/A
253,https://in.indeed.com//rc/clk?jk=47575026744f295d&fccid=afe30394bfba1470&vjs=3,DG- Business analyst- Risk MGT,Genpact,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
254,https://in.indeed.com//rc/clk?jk=2b901a97d6b3947a&fccid=fbc6d0e0f256b49e&vjs=3,D365 Reporting & BI Lead,Zones,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
255,https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1Tds0XE-AWRCee3Hrfxz-ITHByRiJznCkVj4y72847kbvKt0ICqQUtAoOI5RQ3vYGgkOLccmtnDSMlEroWEevZQyPwtdkX9QA8p7JbrIS4JNOSop1SZ9DaMrE5UmmjCZWg92cLcq8zQDCO-8f2ue7MTEZBQHEgbtlBX6kaW69siQn2RN5m_cEzU-_Y_ctCGPc1-LX8FPhDpUGz9I8-OTBMUSJ9uZUv67U0J_eftR8w7hAMj3SWthh3U8i9iJkQCpiU6GRb5LdpOxY-8WHHURLKhBEVk2uRTLbuji7jUxaPS8gE82m5VZ3E19U09ixl4u5M5fFlrqyUVV-XKwNqDKvZ9NTH87eULpbDNfZ--4Ue4kiLeSMqw3ZzB7tbkvX6DZF5G6Sww737x8alZLjfzM6eORw7uYIm28HVQlAO-UbPJ0IhzfnmFsFQsA=&p=14&fvj=0&vjs=3,newIT HR Senior Business Analyst,Boston Consulting Group,"New Delhi, Delhi",Posted8 days ago,N/A
256,https://in.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BRT_J8tESNZROimpc0WyD7EGfhllYDKcBPIyLxids1Tds0XE-AWRCee3Hrfxz-ITHByRiJznCkVj4y72847kbvKt0ICqQUtAoOI5RQ3vYGgkOLccmtnDSMlEroWEevZQyPwtdkX9QA8p7JbrIS4JNOSop1SZ9DaMrE5UmmjCZWg8Ua3iAlBd2DSiZA_CfclQs4TQsnHl-kxhC41VUcfqchSe7VTZi8zeKAMLrSsuyDqWSp9unrCGPtz45XbRQQvfw1mn8QcrQeuHhtzxC-8s2drxCKJARuqGmblMP-MHvxtJvvilmtekcbh0UL6TUh93rRFAHIosiBU0xBfGj0lFWas6KfRf9DyQJ6sanWg4oCwbf10zWOLFImDSaDQDx2l0fN5UY7MdKPJx2eKGlcbT3eg8wPmNBZJBSMCcwuNsJ0p3yGHOvWCbaI69e0ra88TdEmbYR0cwmP-JmfwANN9IhM5i4fem5gbms=&p=0&fvj=0&vjs=3,newIT HR Senior Business Analyst,Boston Consulting Group,"New Delhi, Delhi",Posted8 days ago,N/A
257,https://in.indeed.com//rc/clk?jk=c9ba5b92ff9657d5&fccid=88f5eba43de70e76&vjs=3,Data Management and Analysis Services Associate IV,Conduent,"Noida, Uttar Pradesh",Posted26 days ago,N/A
258,https://in.indeed.com//rc/clk?jk=b3e421089e7b44b5&fccid=afe30394bfba1470&vjs=3,Manager - Data Analyst,Genpact,"Noida, Uttar Pradesh",Posted30+ days ago,N/A
